numero_piece,date_charge,code_dept,categorie_charge,sous_categorie,fournisseur,nature_charge,montant_ht,montant_tva,montant_ttc,est_budgetee,date_id_charge,annee,mois
PCE-000587,2024-02-23,DEPT-008,Loyer & Charges locatives,Assurance locaux,TOTAL MADA,Exploitation,5801.83,0.0,5801.83,1,20240223,2024,2
PCE-000588,2025-02-27,DEPT-008,Loyer & Charges locatives,Loyer bureaux,HOTEL COLBERT,Exploitation,6512.66,0.0,6512.66,1,20250227,2025,2
PCE-000589,2024-12-14,DEPT-006,Salaires & Charges sociales,Salaires bruts,IBM MADA,Exploitation,75005.36,0.0,75005.36,1,20241214,2024,12
PCE-000590,2023-08-04,DEPT-008,Loyer & Charges locatives,Loyer bureaux,BAILLEUR IMMO,Exploitation,2466.07,0.0,2466.07,1,20230804,2023,8
PCE-000591,2025-07-08,DEPT-001,Déplacements & Missions,Carburant,MICROSOFT MADA,Exploitation,1336.78,267.36,1604.14,1,20250708,2025,7
PCE-000592,2023-10-04,DEPT-005,Formation & Développement,Formations externes,FOURNITURES PRO,Exploitation,3934.58,786.92,4721.5,0,20231004,2023,10
PCE-000593,2024-10-16,DEPT-003,Déplacements & Missions,Carburant,CONSULTANTS SA,Exploitation,2450.72,490.14,2940.86,1,20241016,2024,10
PCE-000594,2024-01-16,DEPT-002,Sous-traitance,Consultants,TOTAL MADA,Exploitation,5526.31,1105.26,6631.57,0,20240116,2024,1
PCE-000595,2025-06-15,DEPT-002,Déplacements & Missions,Hôtel & restauration,SECURITE MADA,Exploitation,1568.65,313.73,1882.38,1,20250615,2025,6
PCE-000596,2025-08-24,DEPT-008,Fournitures & Consommables,Consommables informatique,SECURITE MADA,Exploitation,1027.35,205.47,1232.82,1,20250824,2025,8
PCE-000597,2023-05-12,DEPT-007,Déplacements & Missions,Hôtel & restauration,ORACLE,Exploitation,730.16,146.03,876.19,1,20230512,2023,5
PCE-000598,2025-01-14,DEPT-001,Formation & Développement,Formations externes,HOTEL COLBERT,Exploitation,926.35,185.27,1111.62,1,20250114,2025,1
PCE-000599,2023-12-30,DEPT-008,Informatique & Licences,Matériel informatique,NETTOYAGE SERVICE,Exploitation,5653.94,1130.79,6784.73,1,20231230,2023,12
PCE-000600,2023-10-13,DEPT-006,Informatique & Licences,Licences logiciels,NETTOYAGE SERVICE,Exploitation,10944.36,2188.87,13133.23,1,20231013,2023,10
PCE-000601,2025-01-18,DEPT-005,Fournitures & Consommables,Fournitures de bureau,BAILLEUR IMMO,Exploitation,1427.59,285.52,1713.11,1,20250118,2025,1
PCE-000602,2025-06-05,DEPT-005,Formation & Développement,Abonnements professionnels,NETTOYAGE SERVICE,Exploitation,2643.45,528.69,3172.14,1,20250605,2025,6
PCE-000603,2023-06-02,DEPT-008,Informatique & Licences,Maintenance SI,TOTAL MADA,Exploitation,5136.62,1027.32,6163.94,1,20230602,2023,6
PCE-000604,2025-01-24,DEPT-002,Formation & Développement,Formations externes,CONSULTANTS SA,Exploitation,771.28,154.26,925.54,1,20250124,2025,1
PCE-000605,2024-02-19,DEPT-005,Fournitures & Consommables,Documentation,IBM MADA,Exploitation,805.61,161.12,966.73,1,20240219,2024,2
PCE-000606,2025-06-07,DEPT-008,Informatique & Licences,Cloud & hébergement,FOURNITURES PRO,Exploitation,5192.36,1038.47,6230.83,1,20250607,2025,6
PCE-000607,2023-04-16,DEPT-003,Déplacements & Missions,Hôtel & restauration,IBM MADA,Exploitation,896.15,179.23,1075.38,1,20230416,2023,4
PCE-000608,2024-05-08,DEPT-002,Formation & Développement,Formations externes,IBM MADA,Exploitation,4343.5,868.7,5212.2,0,20240508,2024,5
PCE-000609,2025-01-06,DEPT-008,Informatique & Licences,Licences logiciels,BAILLEUR IMMO,Exploitation,2506.9,501.38,3008.28,1,20250106,2025,1
PCE-000610,2024-10-10,DEPT-008,Salaires & Charges sociales,Avantages en nature,FORMATION PLUS,Exploitation,69768.16,0.0,69768.16,1,20241010,2024,10
PCE-000611,2025-04-04,DEPT-008,Loyer & Charges locatives,Loyer bureaux,ORACLE,Exploitation,3154.27,0.0,3154.27,1,20250404,2025,4
PCE-000612,2023-10-25,DEPT-002,Formation & Développement,Abonnements professionnels,TRANSPORT EXPRESS,Exploitation,2587.94,517.59,3105.53,1,20231025,2023,10
PCE-000613,2025-03-09,DEPT-002,Formation & Développement,Abonnements professionnels,IT SOLUTIONS,Exploitation,3978.04,795.61,4773.65,1,20250309,2025,3
PCE-000614,2025-02-12,DEPT-002,Formation & Développement,Certifications,HOTEL COLBERT,Exploitation,3110.03,622.01,3732.04,1,20250212,2025,2
PCE-000615,2024-01-04,DEPT-007,Déplacements & Missions,Transport,IBM MADA,Exploitation,2867.49,573.5,3440.99,0,20240104,2024,1
PCE-000616,2024-12-06,DEPT-002,Formation & Développement,Certifications,SECURITE MADA,Exploitation,3431.54,686.31,4117.85,1,20241206,2024,12
PCE-000617,2024-01-15,DEPT-002,Sous-traitance,Expertise externe,SECURITE MADA,Exploitation,8850.95,1770.19,10621.14,1,20240115,2024,1
PCE-000618,2023-11-14,DEPT-008,Fournitures & Consommables,Fournitures de bureau,SECURITE MADA,Exploitation,350.39,70.08,420.47,1,20231114,2023,11
PCE-000619,2023-12-26,DEPT-002,Sous-traitance,Prestations ponctuelles,SECURITE MADA,Exploitation,18730.02,3746.0,22476.02,0,20231226,2023,12
PCE-000620,2023-01-02,DEPT-001,Formation & Développement,Formations externes,BAILLEUR IMMO,Exploitation,4401.68,880.34,5282.02,0,20230102,2023,1
PCE-000621,2024-05-28,DEPT-008,Loyer & Charges locatives,Charges communes,BAILLEUR IMMO,Exploitation,7205.25,0.0,7205.25,1,20240528,2024,5
PCE-000622,2024-07-23,DEPT-006,Informatique & Licences,Cloud & hébergement,FOURNITURES PRO,Exploitation,1434.15,286.83,1720.98,1,20240723,2024,7
PCE-000623,2024-05-04,DEPT-005,Fournitures & Consommables,Fournitures de bureau,BAILLEUR IMMO,Exploitation,219.75,43.95,263.7,1,20240504,2024,5
PCE-000624,2024-04-05,DEPT-002,Déplacements & Missions,Carburant,MICROSOFT MADA,Exploitation,278.37,55.67,334.04,0,20240405,2024,4
PCE-000625,2025-08-30,DEPT-001,Déplacements & Missions,Hôtel & restauration,HOTEL COLBERT,Exploitation,734.2,146.84,881.04,1,20250830,2025,8
PCE-000626,2025-02-17,DEPT-008,Fournitures & Consommables,Documentation,MICROSOFT MADA,Exploitation,604.41,120.88,725.29,1,20250217,2025,2
PCE-000627,2024-02-03,DEPT-006,Salaires & Charges sociales,Salaires bruts,FOURNITURES PRO,Exploitation,16081.94,0.0,16081.94,1,20240203,2024,2
PCE-000628,2023-12-20,DEPT-003,Déplacements & Missions,Hôtel & restauration,ORACLE,Exploitation,2581.22,516.24,3097.46,1,20231220,2023,12
PCE-000629,2024-03-06,DEPT-002,Formation & Développement,Abonnements professionnels,FOURNITURES PRO,Exploitation,1841.25,368.25,2209.5,1,20240306,2024,3
PCE-000630,2023-12-25,DEPT-003,Sous-traitance,Prestations ponctuelles,HOTEL COLBERT,Exploitation,5007.11,1001.42,6008.53,1,20231225,2023,12
PCE-000631,2025-12-02,DEPT-008,Loyer & Charges locatives,Charges communes,HOTEL COLBERT,Exploitation,5587.91,0.0,5587.91,1,20251202,2025,12
PCE-000632,2024-03-13,DEPT-005,Formation & Développement,Formations externes,TOTAL MADA,Exploitation,2268.19,453.64,2721.83,1,20240313,2024,3
PCE-000633,2024-08-24,DEPT-002,Sous-traitance,Prestations ponctuelles,AGENCE VOYAGE,Exploitation,8361.45,1672.29,10033.74,1,20240824,2024,8
PCE-000634,2025-11-18,DEPT-008,Loyer & Charges locatives,Assurance locaux,IT SOLUTIONS,Exploitation,6616.93,0.0,6616.93,1,20251118,2025,11
PCE-000635,2024-09-30,DEPT-003,Déplacements & Missions,Carburant,HOTEL COLBERT,Exploitation,1904.26,380.85,2285.11,1,20240930,2024,9
PCE-000636,2023-06-15,DEPT-006,Informatique & Licences,Cloud & hébergement,NETTOYAGE SERVICE,Exploitation,9659.48,1931.9,11591.38,1,20230615,2023,6
PCE-000637,2024-03-31,DEPT-005,Formation & Développement,Formations externes,TOTAL MADA,Exploitation,4363.01,872.6,5235.61,1,20240331,2024,3
PCE-000638,2023-07-20,DEPT-001,Formation & Développement,Certifications,MICROSOFT MADA,Exploitation,2246.85,449.37,2696.22,1,20230720,2023,7
PCE-000639,2023-10-22,DEPT-003,Sous-traitance,Consultants,ORANGE PRO,Exploitation,10959.07,2191.81,13150.88,1,20231022,2023,10
PCE-000640,2023-01-06,DEPT-008,Informatique & Licences,Matériel informatique,MICROSOFT MADA,Exploitation,8234.62,1646.92,9881.54,1,20230106,2023,1
PCE-000641,2024-12-21,DEPT-005,Fournitures & Consommables,Documentation,ORACLE,Exploitation,206.33,41.27,247.6,1,20241221,2024,12
PCE-000642,2025-05-24,DEPT-008,Fournitures & Consommables,Documentation,TOTAL MADA,Exploitation,211.72,42.34,254.06,1,20250524,2025,5
PCE-000643,2023-05-04,DEPT-005,Formation & Développement,Certifications,AGENCE VOYAGE,Exploitation,1321.95,264.39,1586.34,1,20230504,2023,5
PCE-000644,2023-02-06,DEPT-008,Fournitures & Consommables,Fournitures de bureau,FOURNITURES PRO,Exploitation,992.0,198.4,1190.4,1,20230206,2023,2
PCE-000645,2023-08-05,DEPT-002,Sous-traitance,Consultants,ORACLE,Exploitation,18271.27,3654.25,21925.52,0,20230805,2023,8
PCE-000646,2023-02-18,DEPT-005,Salaires & Charges sociales,Charges patronales,HOTEL COLBERT,Exploitation,36230.99,0.0,36230.99,1,20230218,2023,2
PCE-000647,2024-03-28,DEPT-001,Sous-traitance,Consultants,BAILLEUR IMMO,Exploitation,17119.03,3423.81,20542.84,1,20240328,2024,3
PCE-000648,2023-12-30,DEPT-004,Salaires & Charges sociales,Avantages en nature,CONSULTANTS SA,Exploitation,73338.14,0.0,73338.14,1,20231230,2023,12
PCE-000649,2024-12-10,DEPT-008,Loyer & Charges locatives,Charges communes,ORANGE PRO,Exploitation,3596.46,0.0,3596.46,1,20241210,2024,12
PCE-000650,2023-05-19,DEPT-004,Sous-traitance,Expertise externe,CONSULTANTS SA,Exploitation,13202.54,2640.51,15843.05,1,20230519,2023,5
PCE-000651,2025-02-06,DEPT-005,Fournitures & Consommables,Consommables informatique,FORMATION PLUS,Exploitation,133.57,26.71,160.28,1,20250206,2025,2
PCE-000652,2023-03-04,DEPT-005,Formation & Développement,Certifications,FOURNITURES PRO,Exploitation,4282.4,856.48,5138.88,1,20230304,2023,3
PCE-000653,2024-04-24,DEPT-006,Informatique & Licences,Maintenance SI,SECURITE MADA,Exploitation,13986.33,2797.27,16783.6,1,20240424,2024,4
PCE-000654,2024-06-05,DEPT-006,Salaires & Charges sociales,Charges patronales,TRANSPORT EXPRESS,Exploitation,39131.12,0.0,39131.12,1,20240605,2024,6
PCE-000655,2023-05-16,DEPT-002,Sous-traitance,Consultants,SECURITE MADA,Exploitation,4243.39,848.68,5092.07,0,20230516,2023,5
PCE-000656,2023-12-31,DEPT-002,Sous-traitance,Prestations ponctuelles,FORMATION PLUS,Exploitation,3975.67,795.13,4770.8,0,20231231,2023,12
PCE-000657,2023-05-28,DEPT-005,Fournitures & Consommables,Documentation,CONSULTANTS SA,Exploitation,599.15,119.83,718.98,1,20230528,2023,5
PCE-000658,2024-12-26,DEPT-004,Sous-traitance,Prestations ponctuelles,TOTAL MADA,Exploitation,3635.14,727.03,4362.17,0,20241226,2024,12
PCE-000659,2023-11-20,DEPT-006,Salaires & Charges sociales,Salaires bruts,NETTOYAGE SERVICE,Exploitation,36279.16,0.0,36279.16,1,20231120,2023,11
PCE-000660,2023-04-27,DEPT-006,Informatique & Licences,Cloud & hébergement,TRANSPORT EXPRESS,Exploitation,7419.78,1483.96,8903.74,1,20230427,2023,4
PCE-000661,2023-05-10,DEPT-005,Fournitures & Consommables,Fournitures de bureau,IBM MADA,Exploitation,424.36,84.87,509.23,1,20230510,2023,5
PCE-000662,2023-12-12,DEPT-002,Sous-traitance,Consultants,ORACLE,Exploitation,7942.12,1588.42,9530.54,0,20231212,2023,12
PCE-000663,2025-03-24,DEPT-005,Fournitures & Consommables,Documentation,IBM MADA,Exploitation,1239.72,247.94,1487.66,1,20250324,2025,3
PCE-000664,2024-07-30,DEPT-005,Fournitures & Consommables,Consommables informatique,FORMATION PLUS,Exploitation,513.96,102.79,616.75,1,20240730,2024,7
PCE-000665,2024-12-27,DEPT-003,Déplacements & Missions,Transport,NETTOYAGE SERVICE,Exploitation,919.29,183.86,1103.15,1,20241227,2024,12
PCE-000666,2024-12-30,DEPT-005,Formation & Développement,Formations externes,FOURNITURES PRO,Exploitation,3818.2,763.64,4581.84,1,20241230,2024,12
PCE-000667,2024-06-05,DEPT-007,Déplacements & Missions,Carburant,IBM MADA,Exploitation,2499.17,499.83,2999.0,1,20240605,2024,6
PCE-000668,2023-09-20,DEPT-003,Sous-traitance,Expertise externe,BAILLEUR IMMO,Exploitation,12224.88,2444.98,14669.86,1,20230920,2023,9
PCE-000669,2024-07-11,DEPT-008,Salaires & Charges sociales,Avantages en nature,ORANGE PRO,Exploitation,75301.54,0.0,75301.54,1,20240711,2024,7
PCE-000670,2023-02-26,DEPT-006,Informatique & Licences,Matériel informatique,HOTEL COLBERT,Exploitation,12625.88,2525.18,15151.06,1,20230226,2023,2
PCE-000671,2023-12-15,DEPT-007,Déplacements & Missions,Hôtel & restauration,ORACLE,Exploitation,493.36,98.67,592.03,1,20231215,2023,12
PCE-000672,2025-08-21,DEPT-006,Informatique & Licences,Licences logiciels,HOTEL COLBERT,Exploitation,8799.62,1759.92,10559.54,1,20250821,2025,8
PCE-000673,2025-09-19,DEPT-001,Salaires & Charges sociales,Salaires bruts,IBM MADA,Exploitation,75474.14,0.0,75474.14,1,20250919,2025,9
PCE-000674,2024-06-08,DEPT-002,Formation & Développement,Abonnements professionnels,ORACLE,Exploitation,2104.45,420.89,2525.34,1,20240608,2024,6
PCE-000675,2025-03-22,DEPT-005,Fournitures & Consommables,Consommables informatique,ORACLE,Exploitation,561.38,112.28,673.66,0,20250322,2025,3
PCE-000676,2024-07-23,DEPT-001,Sous-traitance,Consultants,MICROSOFT MADA,Exploitation,12378.63,2475.73,14854.36,1,20240723,2024,7
PCE-000677,2025-03-17,DEPT-008,Loyer & Charges locatives,Charges communes,ORACLE,Exploitation,4270.67,0.0,4270.67,1,20250317,2025,3
PCE-000678,2023-10-31,DEPT-001,Salaires & Charges sociales,Salaires bruts,AGENCE VOYAGE,Exploitation,5501.0,0.0,5501.0,1,20231031,2023,10
PCE-000679,2024-03-07,DEPT-005,Fournitures & Consommables,Documentation,FORMATION PLUS,Exploitation,801.5,160.3,961.8,1,20240307,2024,3
PCE-000680,2024-07-31,DEPT-005,Fournitures & Consommables,Consommables informatique,ORANGE PRO,Exploitation,106.65,21.33,127.98,1,20240731,2024,7
PCE-000681,2023-02-07,DEPT-003,Déplacements & Missions,Hôtel & restauration,HOTEL COLBERT,Exploitation,582.85,116.57,699.42,1,20230207,2023,2
PCE-000682,2023-09-29,DEPT-008,Informatique & Licences,Licences logiciels,IBM MADA,Exploitation,10504.14,2100.83,12604.97,1,20230929,2023,9
PCE-000683,2023-07-22,DEPT-002,Formation & Développement,Formations externes,HOTEL COLBERT,Exploitation,2423.09,484.62,2907.71,1,20230722,2023,7
PCE-000684,2023-11-03,DEPT-006,Informatique & Licences,Matériel informatique,BAILLEUR IMMO,Exploitation,4293.56,858.71,5152.27,1,20231103,2023,11
PCE-000685,2025-09-25,DEPT-008,Loyer & Charges locatives,Assurance locaux,IBM MADA,Exploitation,4312.84,0.0,4312.84,1,20250925,2025,9
PCE-000686,2024-03-04,DEPT-006,Salaires & Charges sociales,Salaires bruts,CONSULTANTS SA,Exploitation,76723.88,0.0,76723.88,1,20240304,2024,3
PCE-000687,2023-10-05,DEPT-008,Informatique & Licences,Licences logiciels,FOURNITURES PRO,Exploitation,11237.21,2247.44,13484.65,0,20231005,2023,10
PCE-000688,2024-12-09,DEPT-002,Formation & Développement,Certifications,IT SOLUTIONS,Exploitation,1346.93,269.39,1616.32,1,20241209,2024,12
PCE-000689,2024-08-17,DEPT-008,Loyer & Charges locatives,Charges communes,CONSULTANTS SA,Exploitation,6228.9,0.0,6228.9,1,20240817,2024,8
PCE-000690,2025-09-28,DEPT-003,Sous-traitance,Consultants,TRANSPORT EXPRESS,Exploitation,16879.58,3375.92,20255.5,1,20250928,2025,9
PCE-000691,2024-02-18,DEPT-007,Déplacements & Missions,Transport,ORACLE,Exploitation,2081.49,416.3,2497.79,1,20240218,2024,2
PCE-000692,2023-03-23,DEPT-001,Sous-traitance,Prestations ponctuelles,ORACLE,Exploitation,11942.55,2388.51,14331.06,1,20230323,2023,3
PCE-000693,2025-03-08,DEPT-008,Informatique & Licences,Maintenance SI,IBM MADA,Exploitation,14661.6,2932.32,17593.92,1,20250308,2025,3
PCE-000694,2025-02-27,DEPT-005,Fournitures & Consommables,Documentation,ORACLE,Exploitation,231.73,46.35,278.08,0,20250227,2025,2
PCE-000695,2024-12-03,DEPT-007,Salaires & Charges sociales,Avantages en nature,IT SOLUTIONS,Exploitation,40260.65,0.0,40260.65,1,20241203,2024,12
PCE-000696,2023-07-17,DEPT-001,Sous-traitance,Consultants,SECURITE MADA,Exploitation,18527.75,3705.55,22233.3,1,20230717,2023,7
PCE-000697,2025-10-14,DEPT-005,Salaires & Charges sociales,Salaires bruts,TOTAL MADA,Exploitation,77478.2,0.0,77478.2,1,20251014,2025,10
PCE-000698,2023-11-27,DEPT-007,Déplacements & Missions,Carburant,HOTEL COLBERT,Exploitation,2454.33,490.87,2945.2,0,20231127,2023,11
PCE-000699,2023-05-20,DEPT-001,Sous-traitance,Consultants,BAILLEUR IMMO,Exploitation,13871.17,2774.23,16645.4,1,20230520,2023,5
PCE-000700,2025-08-05,DEPT-008,Fournitures & Consommables,Fournitures de bureau,ORANGE PRO,Exploitation,353.45,70.69,424.14,1,20250805,2025,8
PCE-000701,2024-06-24,DEPT-007,Salaires & Charges sociales,Charges patronales,IT SOLUTIONS,Exploitation,45352.15,0.0,45352.15,1,20240624,2024,6
PCE-000702,2023-10-25,DEPT-003,Salaires & Charges sociales,Avantages en nature,NETTOYAGE SERVICE,Exploitation,33877.63,0.0,33877.63,1,20231025,2023,10
PCE-000703,2023-10-22,DEPT-002,Salaires & Charges sociales,Salaires bruts,NETTOYAGE SERVICE,Exploitation,68076.24,0.0,68076.24,1,20231022,2023,10
PCE-000704,2025-12-29,DEPT-002,Déplacements & Missions,Hôtel & restauration,CONSULTANTS SA,Exploitation,1624.9,324.98,1949.88,0,20251229,2025,12
PCE-000705,2023-05-12,DEPT-002,Formation & Développement,Abonnements professionnels,ORACLE,Exploitation,3310.34,662.07,3972.41,1,20230512,2023,5
PCE-000706,2024-12-13,DEPT-006,Salaires & Charges sociales,Charges patronales,IBM MADA,Exploitation,55804.04,0.0,55804.04,1,20241213,2024,12
PCE-000707,2024-04-09,DEPT-002,Déplacements & Missions,Hôtel & restauration,IT SOLUTIONS,Exploitation,372.79,74.56,447.35,0,20240409,2024,4
PCE-000708,2024-02-21,DEPT-007,Déplacements & Missions,Hôtel & restauration,TOTAL MADA,Exploitation,547.14,109.43,656.57,1,20240221,2024,2
PCE-000709,2023-09-10,DEPT-003,Déplacements & Missions,Hôtel & restauration,FOURNITURES PRO,Exploitation,1418.58,283.72,1702.3,1,20230910,2023,9
PCE-000710,2023-07-15,DEPT-005,Formation & Développement,Formations externes,TRANSPORT EXPRESS,Exploitation,1719.43,343.89,2063.32,1,20230715,2023,7
PCE-000711,2024-07-10,DEPT-001,Formation & Développement,Formations externes,MICROSOFT MADA,Exploitation,662.94,132.59,795.53,1,20240710,2024,7
PCE-000712,2023-09-09,DEPT-008,Loyer & Charges locatives,Charges communes,SECURITE MADA,Exploitation,2305.5,0.0,2305.5,1,20230909,2023,9
PCE-000713,2025-09-22,DEPT-005,Fournitures & Consommables,Fournitures de bureau,TRANSPORT EXPRESS,Exploitation,322.47,64.49,386.96,1,20250922,2025,9
PCE-000714,2025-10-27,DEPT-008,Fournitures & Consommables,Fournitures de bureau,HOTEL COLBERT,Exploitation,1026.41,205.28,1231.69,1,20251027,2025,10
PCE-000715,2024-07-01,DEPT-008,Loyer & Charges locatives,Assurance locaux,NETTOYAGE SERVICE,Exploitation,3551.74,0.0,3551.74,1,20240701,2024,7
PCE-000716,2023-11-02,DEPT-002,Formation & Développement,Abonnements professionnels,HOTEL COLBERT,Exploitation,4532.58,906.52,5439.1,1,20231102,2023,11
PCE-000717,2024-02-04,DEPT-001,Formation & Développement,Certifications,HOTEL COLBERT,Exploitation,4156.02,831.2,4987.22,1,20240204,2024,2
PCE-000718,2025-01-20,DEPT-002,Formation & Développement,Abonnements professionnels,FORMATION PLUS,Exploitation,2789.28,557.86,3347.14,0,20250120,2025,1
PCE-000719,2024-05-13,DEPT-005,Formation & Développement,Formations externes,NETTOYAGE SERVICE,Exploitation,4796.37,959.27,5755.64,1,20240513,2024,5
PCE-000720,2024-10-22,DEPT-002,Formation & Développement,Formations externes,BAILLEUR IMMO,Exploitation,1343.81,268.76,1612.57,1,20241022,2024,10
PCE-000721,2023-04-23,DEPT-001,Formation & Développement,Certifications,ORANGE PRO,Exploitation,4082.43,816.49,4898.92,1,20230423,2023,4
PCE-000722,2024-10-25,DEPT-005,Fournitures & Consommables,Consommables informatique,ORACLE,Exploitation,373.06,74.61,447.67,1,20241025,2024,10
PCE-000723,2023-02-11,DEPT-008,Loyer & Charges locatives,Charges communes,AGENCE VOYAGE,Exploitation,3543.11,0.0,3543.11,1,20230211,2023,2
PCE-000724,2023-05-01,DEPT-001,Sous-traitance,Consultants,FORMATION PLUS,Exploitation,1888.09,377.62,2265.71,1,20230501,2023,5
PCE-000725,2025-10-09,DEPT-001,Déplacements & Missions,Hôtel & restauration,ORANGE PRO,Exploitation,1501.58,300.32,1801.9,1,20251009,2025,10
PCE-000726,2025-07-06,DEPT-008,Loyer & Charges locatives,Loyer bureaux,HOTEL COLBERT,Exploitation,5453.92,0.0,5453.92,1,20250706,2025,7
PCE-000727,2024-03-12,DEPT-007,Déplacements & Missions,Hôtel & restauration,MICROSOFT MADA,Exploitation,2275.61,455.12,2730.73,1,20240312,2024,3
PCE-000728,2025-07-28,DEPT-005,Formation & Développement,Abonnements professionnels,ORACLE,Exploitation,1207.78,241.56,1449.34,1,20250728,2025,7
PCE-000729,2025-11-14,DEPT-008,Loyer & Charges locatives,Charges communes,AGENCE VOYAGE,Exploitation,5286.55,0.0,5286.55,1,20251114,2025,11
PCE-000730,2023-12-10,DEPT-008,Loyer & Charges locatives,Assurance locaux,BAILLEUR IMMO,Exploitation,7089.12,0.0,7089.12,1,20231210,2023,12
PCE-000731,2024-05-19,DEPT-006,Informatique & Licences,Licences logiciels,BAILLEUR IMMO,Exploitation,14285.95,2857.19,17143.14,1,20240519,2024,5
PCE-000732,2024-09-24,DEPT-008,Fournitures & Consommables,Fournitures de bureau,BAILLEUR IMMO,Exploitation,1493.86,298.77,1792.63,1,20240924,2024,9
PCE-000733,2023-04-21,DEPT-007,Déplacements & Missions,Carburant,MICROSOFT MADA,Exploitation,2513.25,502.65,3015.9,1,20230421,2023,4
PCE-000734,2023-04-02,DEPT-005,Formation & Développement,Certifications,TRANSPORT EXPRESS,Exploitation,3569.24,713.85,4283.09,1,20230402,2023,4
PCE-000735,2024-10-17,DEPT-001,Salaires & Charges sociales,Avantages en nature,NETTOYAGE SERVICE,Exploitation,58252.19,0.0,58252.19,1,20241017,2024,10
PCE-000736,2025-03-15,DEPT-008,Loyer & Charges locatives,Assurance locaux,CONSULTANTS SA,Exploitation,7461.72,0.0,7461.72,1,20250315,2025,3
PCE-000737,2025-08-23,DEPT-002,Sous-traitance,Prestations ponctuelles,TOTAL MADA,Exploitation,5302.27,1060.45,6362.72,0,20250823,2025,8
PCE-000738,2025-06-03,DEPT-003,Sous-traitance,Consultants,FORMATION PLUS,Exploitation,8293.68,1658.74,9952.42,1,20250603,2025,6
PCE-000739,2024-10-26,DEPT-005,Salaires & Charges sociales,Salaires bruts,FORMATION PLUS,Exploitation,22573.38,0.0,22573.38,1,20241026,2024,10
PCE-000740,2023-08-22,DEPT-002,Formation & Développement,Certifications,IBM MADA,Exploitation,3612.23,722.45,4334.68,1,20230822,2023,8
PCE-000741,2024-04-03,DEPT-008,Informatique & Licences,Licences logiciels,HOTEL COLBERT,Exploitation,10668.49,2133.7,12802.19,0,20240403,2024,4
PCE-000742,2023-01-25,DEPT-005,Fournitures & Consommables,Documentation,TOTAL MADA,Exploitation,611.97,122.39,734.36,1,20230125,2023,1
PCE-000743,2025-07-16,DEPT-008,Informatique & Licences,Maintenance SI,NETTOYAGE SERVICE,Exploitation,3753.09,750.62,4503.71,1,20250716,2025,7
PCE-000744,2025-02-27,DEPT-008,Fournitures & Consommables,Fournitures de bureau,AGENCE VOYAGE,Exploitation,515.26,103.05,618.31,1,20250227,2025,2
PCE-000745,2024-10-07,DEPT-006,Salaires & Charges sociales,Avantages en nature,BAILLEUR IMMO,Exploitation,13935.69,0.0,13935.69,1,20241007,2024,10
PCE-000746,2023-01-18,DEPT-003,Déplacements & Missions,Transport,FOURNITURES PRO,Exploitation,1219.68,243.94,1463.62,0,20230118,2023,1
PCE-000747,2025-12-24,DEPT-003,Déplacements & Missions,Transport,MICROSOFT MADA,Exploitation,1579.59,315.92,1895.51,0,20251224,2025,12
PCE-000748,2024-01-27,DEPT-004,Sous-traitance,Prestations ponctuelles,MICROSOFT MADA,Exploitation,7529.78,1505.96,9035.74,0,20240127,2024,1
PCE-000749,2025-03-24,DEPT-006,Informatique & Licences,Cloud & hébergement,AGENCE VOYAGE,Exploitation,9152.17,1830.43,10982.6,0,20250324,2025,3
PCE-000750,2023-03-13,DEPT-006,Salaires & Charges sociales,Salaires bruts,BAILLEUR IMMO,Exploitation,33715.68,0.0,33715.68,1,20230313,2023,3
PCE-000751,2025-09-15,DEPT-008,Salaires & Charges sociales,Avantages en nature,BAILLEUR IMMO,Exploitation,65025.38,0.0,65025.38,1,20250915,2025,9
PCE-000752,2024-02-16,DEPT-006,Salaires & Charges sociales,Salaires bruts,ORANGE PRO,Exploitation,40596.65,0.0,40596.65,1,20240216,2024,2
PCE-000753,2023-12-20,DEPT-003,Sous-traitance,Consultants,FOURNITURES PRO,Exploitation,9632.51,1926.5,11559.01,1,20231220,2023,12
PCE-000754,2023-02-10,DEPT-001,Formation & Développement,Certifications,TRANSPORT EXPRESS,Exploitation,3510.67,702.13,4212.8,1,20230210,2023,2
PCE-000755,2023-08-18,DEPT-008,Loyer & Charges locatives,Charges communes,ORACLE,Exploitation,3184.16,0.0,3184.16,1,20230818,2023,8
PCE-000756,2025-02-10,DEPT-002,Formation & Développement,Certifications,SECURITE MADA,Exploitation,846.25,169.25,1015.5,1,20250210,2025,2
PCE-000757,2024-05-23,DEPT-008,Informatique & Licences,Maintenance SI,TOTAL MADA,Exploitation,2691.94,538.39,3230.33,1,20240523,2024,5
PCE-000758,2025-11-10,DEPT-005,Formation & Développement,Certifications,FOURNITURES PRO,Exploitation,926.51,185.3,1111.81,0,20251110,2025,11
PCE-000759,2023-08-10,DEPT-005,Formation & Développement,Abonnements professionnels,FOURNITURES PRO,Exploitation,1255.21,251.04,1506.25,1,20230810,2023,8
PCE-000760,2024-07-12,DEPT-008,Fournitures & Consommables,Fournitures de bureau,HOTEL COLBERT,Exploitation,160.98,32.2,193.18,1,20240712,2024,7
PCE-000761,2024-09-10,DEPT-001,Sous-traitance,Expertise externe,IT SOLUTIONS,Exploitation,11522.26,2304.45,13826.71,0,20240910,2024,9
